id,lat,lon
147,None,None
148,None,None
149,None,None
150,None,None
151,55.246862,12.117637
152,None,None
153,None,None
154,None,None
155,56.029377,12.586267
156,None,None
157,None,None
158,57.401064,10.435143
159,55.666667,12.583333
160,None,None
161,None,None
162,55.650000,12.600000
163,54.665127,11.734256
164,56.958788,8.696409
165,None,None
166,None,None
167,55.666667,12.583333
168,55.666667,12.583333
169,55.666667,12.583333
170,None,None
171,None,None
172,55.749029,12.546008
173,55.666667,12.583333
174,55.666667,12.583333
175,55.666667,12.583333
176,55.499223,9.744498
177,55.666667,12.583333
178,55.666667,12.583333
179,55.666667,12.583333
180,None,None
181,55.666667,12.583333
182,55.666667,12.583333
183,55.666667,12.583333
184,55.666667,12.583333
185,55.666667,12.583333
186,55.666667,12.583333
187,None,None
188,None,None
189,55.678467,12.522092
190,55.666667,12.583333
191,55.666667,12.583333
192,None,None
193,55.313929,9.808410
194,None,None
195,54.833487,12.047662
196,55.393475,10.394935
197,55.666667,12.583333
198,56.460704,10.036390
199,55.393475,10.394935
200,55.650000,12.600000
201,55.666667,12.583333
202,55.567840,12.089089
203,55.028052,12.281806
204,None,None
205,55.650000,12.600000
206,55.666667,12.583333
207,55.393475,10.394935
208,55.666667,12.583333
209,55.594566,12.668952
210,54.856205,10.517255
211,55.666667,12.583333
212,55.666667,12.583333
213,55.650000,12.600000
214,55.666667,12.583333
215,55.594566,12.668952
216,55.651014,12.598493
217,55.678467,12.522092
218,None,None
219,55.761792,12.467892
220,55.650000,12.600000
221,55.666667,12.583333
222,55.594566,12.668952
223,55.678467,12.522092
224,None,None
225,55.650000,12.600000
226,56.408047,10.568620
227,56.029377,12.586267
228,55.865675,9.873531
229,None,None
230,55.650000,12.600000
231,55.650000,12.600000
232,55.678467,12.522092
233,55.666667,12.583333
234,55.666667,12.583333
235,None,None
236,55.666667,12.583333
237,55.666667,12.583333
238,56.068869,9.496263
239,None,None
240,None,None
241,55.666667,12.583333
242,56.390257,9.894860
243,55.666667,12.583333
244,55.712670,12.510953
245,55.865675,9.873531
246,None,None
247,55.651014,12.598493
248,55.666667,12.583333
249,55.651014,12.598493
250,55.947513,9.709378
251,55.650000,12.600000
252,55.666667,12.583333
253,55.666667,12.583333
254,55.651014,12.598493
255,55.710285,12.475608
