id,lat,lon
9583,55.594566,12.668952
9584,55.646202,12.636435
9585,55.650000,12.600000
9586,55.666667,12.583333
9587,55.666667,12.583333
9588,55.666667,12.583333
9589,55.666667,12.583333
9590,55.666667,12.583333
9591,56.749436,8.419525
9592,None,None
9593,55.666667,12.583333
9594,55.100907,14.706636
9595,55.666667,12.583333
9596,55.666667,12.583333
9597,55.666667,12.583333
9598,55.666667,12.583333
9599,None,None
9600,None,None
9601,55.666667,12.583333
9602,55.666667,12.583333
9603,None,None
9604,55.594566,12.668952
9605,None,None
9606,None,None
9607,55.666667,12.583333
9608,55.666667,12.583333
9609,55.666667,12.583333
9610,55.666667,12.583333
9611,55.791587,12.145033
9612,None,None
9613,56.460704,10.036390
9614,55.666667,12.583333
9615,None,None
9616,None,None
9617,56.460704,10.036390
9618,55.402719,11.354142
9619,None,None
9620,None,None
9621,55.666667,12.583333
9622,55.666667,12.583333
9623,55.666667,12.583333
9624,55.666667,12.583333
9625,56.551663,10.298744
9626,55.666667,12.583333
9627,54.984638,12.482882
9628,None,None
9629,56.460704,10.036390
9630,55.666667,12.583333
9631,56.476722,10.504209
9632,None,None
9633,55.813244,9.527503
9634,54.887358,9.680958
9635,None,None
9636,55.666667,12.583333
9637,55.666667,12.583333
9638,55.666667,12.583333
9639,55.666667,12.583333
9640,55.666667,12.583333
9641,54.983333,11.900000
9642,55.666667,12.583333
9643,56.412850,10.895649
9644,55.666667,12.583333
9645,None,None
9646,None,None
9647,55.666667,12.583333
9648,55.651014,12.598493
9649,56.609311,9.770255
9650,None,None
9651,55.666667,12.583333
9652,None,None
9653,56.486241,8.604420
9654,None,None
9655,56.676036,10.062383
9656,None,None
9657,55.666667,12.583333
9658,55.709749,9.969988
9659,55.666667,12.583333
9660,None,None
9661,55.666667,12.583333
9662,55.666667,12.583333
9663,55.650000,12.600000
9664,55.594566,12.668952
9665,55.651014,12.598493
9666,None,None
9667,None,None
9668,55.666667,12.583333
9669,55.666667,12.583333
9670,None,None
9671,None,None
9672,55.666667,12.583333
9673,55.349124,8.463605
9674,None,None
9675,55.666667,12.583333
9676,55.393475,10.394935
9677,55.708391,9.542763
